BLD_BGPARTS_GRASS1	grass
BLD_BGPARTS_GRAVE_TREE	Wooden Memorial
BLD_BGPARTS_GRAVE_ROCK	Gravestone
BLD_BGPARTS_BREAK_BOX	Dilapidated Crate
BLD_BGPARTS_BREAK_BRICK	Broken Brickwork
BLD_BGPARTS_BREAK_FLAG	Tattered Banner of Erdrick
BLD_BGPARTS_BREAK_BARRIER	Broken Barricade
BLD_BGPARTS_BREAK_TENT	Tattered Tent
BLD_BGPARTS_BOX	Crate
BLD_BGPARTS_BARREL	Barrel
BLD_BGPARTS_POT	Pot
BLD_BGPARTS_BAG	Leather Sack
BLD_BGPARTS_TUB`Washtub
BLD_BGPARTS_SING_NORMAL	Signpost
BLD_BGPARTS_BARRIER	Diagonal Fencing
BLD_BGPARTS_BARRIER_BIG	Barricade
BLD_BGPARTS_LADDER	Ladder
BLD_BGPARTS_STAIRS	Stone Steps
BLD_BGPARTS_SING_WEAPON	Armourer's Sign
BLD_BGPARTS_SING_TOOL	Shop Sign
BLD_BGPARTS_SING_INN	Inn Sign
BLD_BGPARTS_SINGN_RECEPTION	Unused?
BLD_BGPARTS_WINDOW1	Porched Window
BLD_BGPARTS_WINDOW2	Arched Window
BLD_BGPARTS_WINDOW3	Stone Window
BLD_BGPARTS_DOOR	Wooden Door
BLD_BGPARTS_DOOR_MAGIC	Magic Door
BLD_BGPARTS_DOOR_PRISON	Cell Door
BLD_BGPARTS_DOOR_BIG	Steel Doors
BLD_BGPARTS_DOOR_GATE	Wooden Gate
BLD_BGPARTS_LOCK	Little Lock
BLD_BGPARTS_STONEWALL	Buttress
BLD_BGPARTS_ROOF_TOP	Ridge Tiling
BLD_BGPARTS_WELL	Well
BLD_BGPARTS_TORCH	Torch
BLD_BGPARTS_TORCH_WALL	Sconce
BLD_BGPARTS_CAMP	Bonfire
BLD_BGPARTS_CAMP_BIG	Cookfire
BLD_BGPARTS_LAMP	Wall Lamp
BLD_BGPARTS_CANDLE	Candlestick
BLD_BGPARTS_CANDLE_WALL	Candelabrum
BLD_BGPARTS_TORCH_BIG	Brazier
BLD_BGPARTS_FLOWER_ARRANGEMENT	Pot Plant
BLD_BGPARTS_BOTTLE	Bottles
BLD_BGPARTS_TABLEWARE	Crockery
BLD_BGPARTS_DRESSER	Dressing Table
BLD_BGPARTS_DESK	Small Table
BLD_BGPARTS_DESK_LONG	Big Table
BLD_BGPARTS_DESK_STONE	Stone Table
BLD_BGPARTS_DESK_CIRCLE	Dining Table
BLD_BGPARTS_CHAIR_LV1	Wooden Stool
BLD_BGPARTS_CHAIR_LV2	Comfy Stool
BLD_BGPARTS_THRONE	Throne
BLD_BGPARTS_BED_STRAW	Straw Mattress
BLD_BGPARTS_BED_WOOD	Simple Bed
BLD_BGPARTS_BED_LUXURY	King-Sized Bed
BLD_BGPARTS_TOWEL	Towel Rail
BLD_BGPARTS_BOOKSHELF	Bookcase
BLD_BGPARTS_CABINET	Chest of Drawers
BLD_BGPARTS_CHEST	Wardrobe
BLD_BGPARTS_CLOCK	Grandfather Clock
BLD_BGPARTS_WEAPON	Ornamental Swords
BLD_BGPARTS_ARMOR	Ornamental Armour
BLD_BGPARTS_KITCHEN	Stove
BLD_BGPARTS_THINK	Sink
BLD_BGPARTS_BATH	Bathtub
BLD_BGPARTS_GODDESS	Goddess Statue
BLD_BGPARTS_RELIEF	Clover Carving
BLD_BGPARTS_STAND	Item Display Stand
BLD_BGPARTS_TREASURE	Treasure Chest
BLD_BGPARTS_BANNER	Decorative Drapery
BLD_BGPARTS_TAPESTRY	Bold Banner
BLD_BGPARTS_TAPESTRY_BIG	Big Bold Banner
BLD_BGPARTS_PILLAR	Pretty Pillar
BLD_BGPARTS_PILLAR_BIG	Column
BLD_BGPARTS_FENCE1	Stone Coping
BLD_BGPARTS_FENCE2	Stone Capping
BLD_BGPARTS_RELIEF_BIG	Decorative Shield
BLD_BGPARTS_FALLROCK	Small Stones
BLD_BGPARTS_FALLROCK_BIG	Big Rock
BLD_BGPARTS_BONE	Bones
BLD_BGPARTS_DRAGON_BONE	Dragon Bones
BLD_BGPARTS_CHAIN	Chains
BLD_BGPARTS_FRAG_MONSTER	Dragonlord's Standard
BLD_BGPARTS_FLOOR_MONSTER	Vile Tile
BLD_BGPARTS_FLOOR_ROTO	Seal of Erdrick
BLD_BGPARTS_PILLAR_DRAGON	Draconic Column
BLD_BGPARTS_MONSTER_FACE	Vile Visage
BLD_BGPARTS_MONSTER_STATUE	Evil Idol
BLD_BGPARTS_MONSTER_HOLE1	Beastly Burrow
BLD_BGPARTS_MONSTER_HOLE2	Helliportal
BLD_BGPARTS_PRICKLE	Spike Trap
BLD_BGPARTS_THRONE_SATAN	X Dragonlord's Throne
BLD_BGPARTS_FOOD1	Pristine Plumberry
BLD_BGPARTS_FOOD2	X Chilli Pepper
BLD_BGPARTS_FOOD3	X Wheat
BLD_BGPARTS_FOOD4	X Potato
BLD_BGPARTS_FOOD5	X Heartfruit
BLD_BGPARTS_FOOD6	X Butterbeans
BLD_BGPARTS_FOOD7	X Sugarcane?
BLD_BGPARTS_FOOD8
BLD_BGPARTS_FOOD9
BLD_BGPARTS_FOOD10
BLD_BGPARTS_CRAFT1
BLD_BGPARTS_CRAFT2
BLD_BGPARTS_CRAFT3
BLD_BGPARTS_CRAFT4
BLD_BGPARTS_CRAFT5
BLD_BGPARTS_CRAFT6
BLD_BGPARTS_CRAFT7
BLD_BGPARTS_CRAFT8
BLD_BGPARTS_CRAFT9
BLD_BGPARTS_CRAFT10
BLD_BGPARTS_CRAFT11
BLD_BGPARTS_CRAFT12
BLD_BGPARTS_CRAFT13
BLD_BGPARTS_CRAFT14
BLD_BGPARTS_CRAFT15
BLD_BGPARTS_SCENARIO1
BLD_BGPARTS_SCENARIO2
BLD_BGPARTS_SCENARIO3
BLD_BGPARTS_SCENARIO4
BLD_BGPARTS_SCENARIO5
BLD_BGPARTS_SCENARIO6
BLD_BGPARTS_SCENARIO7
BLD_BGPARTS_SCENARIO8
BLD_BGPARTS_PISTON	Piston
BLD_BGPARTS_SWITCH_FLOOR	Pressure Plate
BLD_BGPARTS_SWITCH_WALL	Button
BLD_BGPARTS_FORT1	Ballista
BLD_BGPARTS_FORT2	Magic Cannon?
BLD_BGPARTS_ROOF_BOARD	
BLD_BGPARTS_ROOF_SLANTING
BLD_BGPARTS_ROOF_CORNER
BLD_BGPARTS_ROOF_CONCAVITY
BLD_BGPARTS_WAREHOUSE_LV1
BLD_BGPARTS_WAREHOUSE_LV2
BLD_BGPARTS_WAREHOUSE_LV3
BLD_BGPARTS_EQUIP_STAND
BLD_BGPARTS_RAIL_STRAIGHT
BLD_BGPARTS_RAIL_TURN
BLD_BGPARTS_RAIL_SLOPE
BLD_BGPARTS_RAIL_STATION
BLD_BGPARTS_LORRY_WOOD
BLD_BGPARTS_LORRY_IRON
BLD_BGPARTS_FLAG_ST1
BLD_BGPARTS_FLAG_ST2
BLD_BGPARTS_FLAG_ST3
BLD_BGPARTS_FLAG_ST4
BLD_BGPARTS_TRAVELDOOR_BLUE
BLD_BGPARTS_LEADBALL_RED
BLD_BGPARTS_LEADBALL_GREEN
BLD_BGPARTS_LEADBALL_BLUE
BLD_BGPARTS_MAGICBALL
BLD_BGPARTS_FRAME
BLD_BGPARTS_FOUNTAIN
BLD_BGPARTS_WATER_STONE
BLD_BGPARTS_HOTWATER_STONE
BLD_BGPARTS_TRAVELDOOR_YELLOW
BLD_BGPARTS_TRAVELDOOR_RED
BLD_BGPARTS_TRAVELDOOR_GREEN
BLD_BGPARTS_FLAG_HAND
BLD_BGPARTS_POOR_DOOR
_EMPTY_RECID_0
_EMPTY_RECID_1
_EMPTY_RECID_2
BLD_BGPARTS_STORE_BOX
BLD_BGPARTS_CLEAR_WALL
_EMPTY_RECID_3
_EMPTY_RECID_4
BLD_BGPARTS_FILTRATION
BLD_BGPARTS_EVIL_TREASURE_CHEST
_EMPTY_RECID_5
BLD_BGPARTS_MYSELF_BUILDING_AREA
BLD_BGPARTS_OTHERS_BUILDING_AREA
_EMPTY_RECID_6
BLD_BGPARTS_ROOF_WINDOW
_EMPTY_RECID_7
_EMPTY_RECID_8
_EMPTY_RECID_9
BLD_BGPARTS_MEN_SIGNBOARD
BLD_BGPARTS_WOMEN_SIGNBOARD
BLD_BGPARTS_BENCH
_EMPTY_RECID_10
BLD_BGPARTS_CHAIR_LUXURY
_EMPTY_RECID_11
BLD_BGPARTS_HEART_LAMP
BLD_BGPARTS_DOUBLE_SEATER_SOFA
BLD_BGPARTS_BED_CANOPY
_EMPTY_RECID_12
_EMPTY_RECID_13
BLD_BGPARTS_FIREPLACE
_EMPTY_RECID_14
_EMPTY_RECID_15
_EMPTY_RECID_16
_EMPTY_RECID_17
_EMPTY_RECID_18
_EMPTY_RECID_19
_EMPTY_RECID_20
_EMPTY_RECID_21
_EMPTY_RECID_22
_EMPTY_RECID_23
_EMPTY_RECID_24
_EMPTY_RECID_25
_EMPTY_RECID_26
_EMPTY_RECID_27
_EMPTY_RECID_28
BLD_BGPARTS_LOCK2
_EMPTY_RECID_29
_EMPTY_RECID_30
BLD_BGPARTS_THRONE_SATAN_UNBREAKABLE
_EMPTY_RECID_31
_EMPTY_RECID_32
_EMPTY_RECID_33
_EMPTY_RECID_34
_EMPTY_RECID_35
_EMPTY_RECID_36
_EMPTY_RECID_37
_EMPTY_RECID_38
_EMPTY_RECID_39
_EMPTY_RECID_40
_EMPTY_RECID_41
_EMPTY_RECID_42
_EMPTY_RECID_43
_EMPTY_RECID_44
_EMPTY_RECID_45
_EMPTY_RECID_46
_EMPTY_RECID_47
_EMPTY_RECID_48
_EMPTY_RECID_49
_EMPTY_RECID_50
_EMPTY_RECID_51
_EMPTY_RECID_52
_EMPTY_RECID_53
_EMPTY_RECID_54
_EMPTY_RECID_55
_EMPTY_RECID_56
_EMPTY_RECID_57
_EMPTY_RECID_58
_EMPTY_RECID_59
_EMPTY_RECID_60
_EMPTY_RECID_61
_EMPTY_RECID_62
_EMPTY_RECID_63
_EMPTY_RECID_64
_EMPTY_RECID_65
_EMPTY_RECID_66
_EMPTY_RECID_67
_EMPTY_RECID_68
_EMPTY_RECID_69
_EMPTY_RECID_70
_EMPTY_RECID_71
_EMPTY_RECID_72
_EMPTY_RECID_73
_EMPTY_RECID_74
_EMPTY_RECID_75
_EMPTY_RECID_76
_EMPTY_RECID_77
_EMPTY_RECID_78
_EMPTY_RECID_79
_EMPTY_RECID_80
_EMPTY_RECID_81
_EMPTY_RECID_82
_EMPTY_RECID_83
_EMPTY_RECID_84
_EMPTY_RECID_85
_EMPTY_RECID_86
BLD_BGPARTS_LORRY_FAST
_EMPTY_RECID_87
_EMPTY_RECID_88
_EMPTY_RECID_89
_EMPTY_RECID_90
_EMPTY_RECID_91
_EMPTY_RECID_92
_EMPTY_RECID_93
_EMPTY_RECID_94
_EMPTY_RECID_95
_EMPTY_RECID_96
_EMPTY_RECID_97
_EMPTY_RECID_98
_EMPTY_RECID_99
_EMPTY_RECID_100
_EMPTY_RECID_101
_EMPTY_RECID_102
_EMPTY_RECID_103
_EMPTY_RECID_104
_EMPTY_RECID_105
_EMPTY_RECID_106
_EMPTY_RECID_107
_EMPTY_RECID_108
_EMPTY_RECID_109
_EMPTY_RECID_110
_EMPTY_RECID_111
_EMPTY_RECID_112
_EMPTY_RECID_113
_EMPTY_RECID_114
_EMPTY_RECID_115
_EMPTY_RECID_116
_EMPTY_RECID_117
_EMPTY_RECID_118
_EMPTY_RECID_119
_EMPTY_RECID_120
_EMPTY_RECID_121
_EMPTY_RECID_122
_EMPTY_RECID_123
_EMPTY_RECID_124
_EMPTY_RECID_125
_EMPTY_RECID_126
_EMPTY_RECID_127
_EMPTY_RECID_128
_EMPTY_RECID_129
_EMPTY_RECID_130
_EMPTY_RECID_131
_EMPTY_RECID_132
_EMPTY_RECID_133
_EMPTY_RECID_134
_EMPTY_RECID_135
_EMPTY_RECID_136
_EMPTY_RECID_137
_EMPTY_RECID_138
_EMPTY_RECID_139
_EMPTY_RECID_140
_EMPTY_RECID_141
_EMPTY_RECID_142
_EMPTY_RECID_143
_EMPTY_RECID_144
_EMPTY_RECID_145
_EMPTY_RECID_146
_EMPTY_RECID_147
_EMPTY_RECID_148
_EMPTY_RECID_149
_EMPTY_RECID_150
BLD_BGPARTS_RAIL_TURN_REV
_EMPTY_RECID_151
_EMPTY_RECID_152
NUM_ID
